frequencia,nota_media,atividades_entregues,acessos_ava,reprovas_anteriores,situacao_financeira,risco_evasao
65.0,6.1,50.1,7,0,3,medio
42.2,2.2,51.6,3,1,3,alto
89.9,7.6,76.8,12,3,3,medio
44.0,3.4,28.8,4,2,2,alto
65.4,0.0,37.8,4,1,2,alto
100.0,8.8,84.6,16,0,3,baixo
75.3,9.5,64.0,10,1,1,baixo
84.1,6.9,88.7,15,0,3,baixo
80.8,6.5,83.7,15,1,3,baixo
87.6,9.2,99.9,10,1,3,baixo
92.3,8.7,91.7,15,0,2,baixo
83.3,10.0,100.0,9,2,3,baixo
41.6,3.2,42.8,3,0,2,alto
89.2,6.7,87.4,17,0,3,baixo
53.2,5.4,34.5,3,1,2,alto
49.3,3.7,16.6,3,2,2,alto
94.5,8.2,77.7,14,0,2,baixo
55.1,5.7,60.4,7,1,3,medio
80.2,6.1,65.8,7,1,1,medio
76.8,8.3,86.9,11,2,2,medio
57.1,8.8,92.8,7,0,2,medio
77.0,5.7,66.0,8,2,2,medio
40.6,3.0,45.1,2,2,2,alto
57.0,5.7,72.1,11,3,2,medio
99.2,8.4,84.8,17,0,3,baixo
54.7,4.1,49.7,4,3,2,alto
77.9,6.5,74.6,12,0,3,baixo
46.6,2.8,54.1,9,2,1,alto
71.0,3.2,80.1,11,0,1,medio
64.1,7.9,74.6,11,0,3,baixo
64.5,3.2,38.0,3,3,2,alto
87.6,9.7,61.3,10,0,3,baixo
66.8,6.2,56.8,9,0,2,medio
52.2,5.7,57.3,9,2,1,medio
47.8,3.1,50.3,6,3,1,alto
62.9,7.4,40.0,6,2,2,medio
80.0,6.8,83.2,5,0,1,medio
90.4,10.0,85.0,17,0,2,baixo
74.7,9.7,61.9,12,3,3,medio
45.8,3.0,73.9,12,2,3,medio
97.9,8.9,72.0,13,0,2,baixo
89.0,6.6,86.7,13,0,3,baixo
70.0,5.2,65.4,3,2,3,alto
75.3,8.3,99.2,8,0,3,baixo
100.0,9.3,100.0,15,0,3,baixo
51.4,5.7,21.8,2,1,3,alto
85.2,5.8,59.7,8,0,2,medio
36.6,3.7,33.4,2,1,1,alto
62.8,5.0,30.1,1,0,2,alto
81.3,6.7,76.6,9,0,1,baixo
89.1,7.1,91.8,17,2,3,baixo
11.1,8.0,19.7,4,2,1,alto
94.0,8.1,88.7,15,1,3,baixo
71.1,8.8,96.4,16,2,3,baixo
65.7,2.6,35.4,2,2,2,alto
59.6,5.6,52.2,6,1,1,medio
39.0,3.8,46.0,7,2,1,alto
43.6,4.4,86.7,6,1,3,medio
84.4,7.4,82.7,14,0,1,baixo
100.0,8.8,85.4,15,0,3,baixo
35.4,2.4,38.7,3,1,3,alto
86.1,6.0,75.6,18,2,2,baixo
89.3,8.4,88.8,14,1,3,baixo
27.0,4.7,34.0,5,1,1,alto
68.3,7.6,52.3,7,2,2,medio
47.3,1.1,47.4,3,2,1,alto
91.3,6.5,77.0,7,0,3,medio
86.6,6.2,74.7,13,0,1,baixo
72.2,5.3,61.7,5,3,3,medio
29.3,3.4,51.6,3,1,2,alto
95.0,7.4,80.2,16,0,3,baixo
61.9,4.5,81.1,5,2,1,alto
60.7,3.2,77.6,4,5,1,alto
72.2,6.5,60.7,11,0,3,medio
88.8,9.5,98.2,10,0,3,baixo
82.5,8.5,100.0,8,0,3,baixo
30.4,3.9,52.3,1,3,2,alto
84.1,6.8,100.0,15,3,3,baixo
50.9,2.2,43.3,6,4,1,alto
39.4,3.4,54.5,5,2,1,alto
84.3,8.0,82.2,14,0,3,baixo
48.5,2.7,47.3,2,2,1,alto
81.5,9.2,86.7,10,0,2,baixo
91.8,8.5,91.6,10,0,2,baixo
87.1,8.6,65.3,14,1,3,baixo
88.8,5.6,70.1,10,0,3,baixo
100.0,6.6,100.0,14,0,2,baixo
78.3,7.1,97.4,9,1,3,baixo
54.7,2.2,35.8,4,1,1,alto
62.6,4.3,38.5,4,5,2,alto
49.1,1.3,54.6,6,2,1,alto
59.7,7.8,49.3,13,3,3,medio
33.7,6.6,42.4,8,1,3,medio
47.7,5.7,84.4,7,2,2,medio
66.1,7.9,73.9,5,2,2,medio
85.2,9.0,57.7,9,1,2,baixo
79.4,8.9,68.8,15,0,3,baixo
63.8,3.6,16.6,2,0,2,alto
25.8,1.5,45.5,2,2,3,alto
38.3,5.1,26.2,5,1,3,alto
69.2,6.7,74.9,6,4,3,medio
75.8,10.0,100.0,9,0,3,baixo
17.6,3.3,47.0,2,0,1,alto
45.0,4.8,78.6,7,1,1,medio
45.4,1.7,37.5,5,2,1,alto
100.0,8.1,68.4,17,0,3,baixo
77.1,6.0,99.2,20,0,2,baixo
24.2,2.7,36.9,7,1,2,alto
82.2,8.3,74.7,9,0,2,baixo
71.1,3.6,58.3,6,3,2,medio
75.9,4.1,73.1,13,2,3,medio
73.6,9.4,79.4,12,1,3,baixo
